Name,Section,Description,Assignee,Due Date,Priority,Tags
"Value Chain Generator Agent",Other Ventures,"OBJECTIVE: Build AI agent to identify value chain opportunities in Saudi industrial sectors. TARGET SECTORS: Agriculture, Mining, Industrial manufacturing. AGENT CAPABILITIES: (1) Map complete value chains for each sector (2) Identify gaps - technology, infrastructure, information, financial, skills (3) Evaluate business opportunities - JV or SPV structures (4) Filter for bankable businesses only. OUTPUT FORMAT: Notion database with: Business idea, Partnership type (JV/SPV), Market demand analysis, Supply analysis, Benchmark comparisons, Detailed business plan. QUALITY REQUIREMENTS: Deep research, verifiable data, realistic financial projections. EXPECTED OUTCOME: 5+ bankable business ideas with partnership structures defined.",,,"High","Agent,Value Chain,Business Ideas"
"Intersect Online Presence",Other Ventures,"OBJECTIVE: Establish complete online presence for Intersect soft-landing services. WEBSITE: Build on Antigravity or VS Code platform. Sections: Services, Process, Success Stories, Resources, Contact. Features: Lead capture, CRM integration, bilingual (AR/EN). SOCIAL MEDIA ACCOUNTS TO CREATE: (1) X (Twitter) - for industry news and thought leadership (2) Crunchbase - company profile for investor visibility (3) LinkedIn - company page and personal branding (4) Google Business Profile. CONTENT STRATEGY: Weekly posts, industry insights, success stories. EXPECTED OUTCOME: Professional web presence generating 10+ leads/month within 90 days.",,,"Medium","Website,Social Media,Intersect"
"Personal Income Generation",Other Ventures,"OBJECTIVE: Identify and implement quick income generation methods. BRAINSTORM AREAS: (1) Freelance consulting on aquaculture projects (2) Online tutoring/courses on farm management (3) Affiliate marketing for agricultural products (4) Content creation - YouTube/blog on farming tech (5) Part-time advisory roles. RESOURCE: Use assistant Ghadeer to research opportunities, gather requirements, and execute initial steps. EVALUATION CRITERIA: Time investment, income potential, scalability, alignment with expertise. EXPECTED OUTCOME: 1-2 income streams generating SAR 2,000+/month within 60 days. DELIVERABLE: Prioritized opportunity list with action plans.",,,"Low","Income,Personal"
"MOU with Ayham - Aseer Project",New Tasks,"OBJECTIVE: Secure binding MOU with Ayham and Aseer project owner. CRITICAL PRIORITY: Cannot lose this opportunity. MEETING PREPARATION: Create detailed agenda for each meeting, prepare questions document, bring draft MOU. STRUCTURE OPTIONS: Option A - Create new entity (faster, simpler governance). Option B - Create SPV (may need 25M SAR, more complex but scalable). KEY TERMS TO NEGOTIATE: (1) Land contribution - owned by entity/SPV (2) Mustadem equity - target ~15% for: company formation, design, investor acquisition, building, contractor management, project management, farm management systems. LEGAL: Engage lawyer to draft MOU. EXPECTED OUTCOME: Signed MOU within 30 days with clear equity structure and timeline.",,,"Critical","MOU,Partnership,Aseer"
"Meet Abdullah AlQarni",New Tasks,"OBJECTIVE: Secure support and guidance from Abdullah AlQarni. MEETING PREPARATION: (1) Research his background and current involvements (2) Prepare specific ask - what help do we need? (mentorship, introductions, investment, advisory) (3) Create 1-page company summary (4) Prepare talking points on mutual benefits. MEETING AGENDA: Introduction (5 min), Mustadem overview (10 min), Specific request (10 min), Discussion (15 min), Next steps (5 min). FOLLOW-UP: Send thank you email within 24 hours with summary and action items. EXPECTED OUTCOME: Clear commitment to help with specific next steps defined.",,,"High","Meeting,Support"
"Meet Mohamed Almajed",New Tasks,"OBJECTIVE: Explore investment and involvement opportunity with Mohamed Almajed. MEETING PREPARATION: (1) Research his investment history and interests (2) Prepare investment pitch deck (3) Define what 'involvement' could look like - advisory, operational, board (4) Know your ask - investment amount, terms. MEETING AGENDA: Personal catch-up (5 min), Market opportunity (10 min), Mustadem presentation (15 min), Investment discussion (15 min), Next steps (5 min). MATERIALS TO BRING: Pitch deck, financial model, executive summary. EXPECTED OUTCOME: Clear interest indication with follow-up meeting scheduled for detailed due diligence.",,,"High","Meeting,Investment"
"Meet Family Members in Riyadh",New Tasks,"OBJECTIVE: Strengthen family relationships and explore support opportunities. PREPARATION: (1) List all family members to meet (2) Schedule meetings in advance (3) Prepare brief update on business activities (4) Identify specific asks for each - investment, introductions, advice. APPROACH: Personal first, business second. Be prepared to discuss but don't force. LOGISTICS: Plan efficient routing for multiple meetings. FOLLOW-UP: Send personal thank you messages. EXPECTED OUTCOME: Strengthened relationships, potential investment leads, family support network activated.",,,"Medium","Meeting,Family"
"Nebras to Mustadem Profile",New Tasks,"OBJECTIVE: Complete transfer of Nebras company profile and services to Mustadem brand. TASKS: (1) Review all Nebras service offerings (2) Map services to Mustadem structure (3) Update all marketing materials (4) Sign formal transfer agreement (5) Update website with new services section (6) Notify existing clients of expanded capabilities. NEW SERVICES TO ADD: All engineering, safety, fire protection, environmental services from Nebras portfolio. LEGAL: Ensure proper documentation of service transfer. EXPECTED OUTCOME: Signed deal, updated Mustadem profile with comprehensive service offering.",,,"High","Profile,Services,Deal"
"Bureau Veritas to Mustadem",New Tasks,"OBJECTIVE: Integrate Bureau Veritas capabilities into Mustadem service portfolio. TASKS: (1) Document all Bureau Veritas services relevant to Mustadem (2) Understand certification and accreditation requirements (3) Create new service section in company profile (4) Develop partnership or licensing agreement if needed (5) Train team on new service delivery. SERVICES TO ADD: Testing, inspection, certification services. EXPECTED OUTCOME: Expanded Mustadem profile with verification and certification services, formal partnership agreement.",,,"High","Profile,Services"
"Update Fish Farming Profiles",New Tasks,"OBJECTIVE: Modernize and enhance Mustadem fish farming company profiles. UPDATES NEEDED: (1) Add recent project portfolio with photos and results (2) Include new technologies and capabilities (3) Update team credentials and experience (4) Add case studies with ROI metrics (5) Refresh design and branding (6) Include sustainability credentials. FORMAT: Create both PDF brochure and web content versions. QUALITY CHECK: Review by industry expert, client testimonials. EXPECTED OUTCOME: Professional profiles that position Mustadem as market leader in fish farming consulting.",,,"Medium","Profile,Fish Farming"
"Update Greenhouses Profiles",New Tasks,"OBJECTIVE: Modernize and enhance Mustadem greenhouse company profiles. UPDATES NEEDED: (1) Showcase completed greenhouse projects (2) Add technology capabilities - automation, climate control, hydroponics (3) Include team expertise and certifications (4) Add case studies with yield improvements (5) Highlight sustainability and water efficiency features (6) Update visual design. FORMAT: Create PDF brochure and web content versions. COMPETITIVE POSITIONING: Compare favorably to regional competitors. EXPECTED OUTCOME: Professional profiles establishing Mustadem as greenhouse technology leader.",,,"Medium","Profile,Greenhouses"
"Finish Deal with Aftab",New Tasks,"OBJECTIVE: Close partnership deal with Aftab to handle small client workload. DEAL STRUCTURE: Define scope - which clients/projects Aftab handles. Revenue sharing model, quality standards, reporting requirements, escalation procedures. AGREEMENT ELEMENTS: (1) Client categories assigned to Aftab (2) Pricing structure and margins (3) Quality control and brand standards (4) Communication protocols (5) Performance metrics and review schedule. LEGAL: Draft formal partnership agreement. EXPECTED OUTCOME: Signed agreement, clear handover process, first clients transitioned within 2 weeks.",,,"High","Deal,Partnership"
"Hisham Performance Review",New Tasks,"OBJECTIVE: Evaluate Hisham's performance and determine path forward. EVALUATION CRITERIA: (1) Greenhouses project status - timeline, quality, client satisfaction (2) Fish farming project progress (3) Deal closure with Dr. Aftab - status and blockers. REVIEW PROCESS: Document current status, identify gaps, have direct conversation about expectations vs delivery. DECISION FRAMEWORK: If projects not progressing and Aftab deal not closing, develop exit plan. If salvageable, create improvement plan with 30-day milestones. EXPECTED OUTCOME: Clear performance improvement plan or exit decision with documentation.",,,"High","HR,Performance"
"Intersect Company Plan",New Tasks,"OBJECTIVE: Create comprehensive transformation plan for Intersect. CURRENT STATE: No tech solutions, no project management, struggling with clients. TRANSFORMATION AREAS: (1) Technology stack - Asana, Notion, HubSpot CRM (2) Team restructuring - partnership model vs hiring (3) AI agent for automatable tasks (4) New client acquisition website (5) Local partnerships for service delivery. DELIVERABLES: Action plan document, implementation timeline (12 weeks), budget estimate, KPIs. REVENUE MODEL: Partnership percentages instead of fixed costs. EXPECTED OUTCOME: Clear roadmap to operational efficiency and profitability. SEE: INTERSECT_ACTION_PLAN.md for detailed plan.",,,"High","Intersect,Planning,AI Agent"
"Alsebai Family - Tech Stack Training",New Tasks,"OBJECTIVE: Enable Alsebai family to build and launch their B2B printing app. TRAINING TOPICS: (1) Notion for documentation and project management (2) No-code/low-code app building tools (Bubble, Adalo, or similar) (3) Tech stack selection for B2B marketplace (4) Payment integration with Faturah app. BUSINESS SUPPORT: (1) Build company strategy - value proposition, target market, GTM (2) Revenue model development - commission, subscription, or hybrid (3) First customer acquisition plan (4) Funding options - bootstrap, angel, VC. EXPECTED OUTCOME: Family capable of building MVP, clear strategy, first revenues within 90 days, funding pitch ready.",,,"Medium","Training,Strategy,Funding"
"Nebras Profile - Who We Are Section",Nebras Company Profile,"OBJECTIVE: Create compelling company introduction section. CONTENT REQUIREMENTS: (1) Company positioning - premier engineering and consulting firm (2) Service scope - full-lifecycle solutions from design to compliance (3) Client segments - residential, industrial, commercial (4) Geographic focus - Saudi Arabia and wider region (5) Key differentiators - integrated expertise, reduced coordination risks, accelerated timelines. WORD COUNT: 150-200 words. TONE: Professional, confident, client-focused. FORMAT: Website copy + PDF brochure version. REVIEW: Get approval from leadership before publishing. SEE: NEBRAS_COMPANY_PROFILE.md Section 1.",,,"High","Profile,Introduction"
"Nebras Profile - Mission Vision Values",Nebras Company Profile,"OBJECTIVE: Define and articulate company mission, vision, and core values. MISSION STATEMENT: Engineer excellence while safeguarding people and planet. VISION STATEMENT: Become region's most trusted integrator of technical and regulatory services. CORE VALUES: (1) Precision - attention to detail (2) Safety - protecting people and assets (3) Quality - exceeding standards (4) Sustainability - environmental responsibility (5) Client Partnership - trust and shared success. FORMAT: Create visual layout for website, include in all presentations. DELIVERABLE: Finalized statements approved by leadership, integrated into all company materials.",,,"High","Profile,Mission,Vision"
"Nebras Profile - Project Delivery",Nebras Company Profile,"OBJECTIVE: Document comprehensive project delivery capabilities. PHASES TO COVER: (1) Planning & Design - feasibility studies, multi-discipline design, 3D modeling, clash detection (2) Execution - construction supervision, Primavera scheduling, quality plans, progress reporting (3) Compliance - Saudi Building Code, international codes, regulatory approvals. HIGHLIGHT: On-time, on-budget delivery assurance. EVIDENCE: Include project statistics (X projects completed, Y% on-time, Z% client satisfaction). FORMAT: Detailed web page with infographics showing process flow. SEE: NEBRAS_COMPANY_PROFILE.md Section 3.",,,"High","Profile,Engineering,Delivery"
"Nebras Profile - Design & Digital Tools",Nebras Company Profile,"OBJECTIVE: Showcase technical design capabilities and software expertise. DESIGN DISCIPLINES: Architectural, Structural, Roads, Bridges, Utilities, Railroad. SOFTWARE TOOLS: AutoCAD, Revit, SAP2000, Staad Pro, Safe, Etabs, Proken, Primavera P6. DIGITAL DELIVERABLES: 3D visualizations, clash detection reports, quantity surveying, Baladi platform licensing. FORMAT: Create capability matrix showing tools per discipline. VISUALS: Include screenshots/renders of actual project work (with client permission). EXPECTED OUTCOME: Technical credibility established with prospective clients.",,,"High","Profile,Design,Tools"
"Nebras Profile - Fire Protection",Nebras Company Profile,"OBJECTIVE: Detail complete fire protection engineering services. SERVICE AREAS: (1) Assessment & Design - hazard analysis, code-compliant design, fire extinguishing systems, alarm systems, ventilation, evacuation planning (2) Regulatory Compliance - Civil Defense submission, SALAMA technical reports, Certificate of Compliance (3) Implementation - turnkey supply, installation, commissioning. CERTIFICATIONS TO HIGHLIGHT: List all relevant fire safety certifications. CASE STUDIES: Include 2-3 completed fire safety projects with outcomes. FORMAT: Dedicated service page with process flowchart.",,,"High","Profile,Fire Safety"
"Nebras Profile - Safety Assurance",Nebras Company Profile,"OBJECTIVE: Document ongoing safety and maintenance services. SERVICE CATEGORIES: (1) Maintenance - scheduled contracts, periodic testing, performance documentation, 24/7 support (2) Occupational Health & Safety - international standards compliance, site protection, safety training, risk assessment (3) Insurance Support - documentation, compliance verification, claims support. VALUE PROPOSITION: Continuous compliance and operational resilience after handover. FORMAT: Service catalog with pricing tiers (basic, standard, premium). EXPECTED OUTCOME: Recurring revenue stream from maintenance contracts.",,,"High","Profile,Safety"
"Nebras Profile - MODON Solutions",Nebras Company Profile,"OBJECTIVE: Present complete MODON-authority project capabilities. PROJECT PHASES: (1) Preliminary - feasibility, site selection, cost estimation (2) Design - 3D design, multi-disciplinary coordination, authority submissions (3) Approval - permits, multi-authority coordination, compliance verification (4) Construction - supervision, monitoring, quality control (5) Completion - inspections, operating license, handover. FACILITY TYPES: Manufacturing factories, warehouses, logistics centers, public facilities, industrial complexes. TRACK RECORD: Include number of MODON projects completed, timeline statistics. FORMAT: Detailed capability page with phase-gate process diagram.",,,"High","Profile,MODON,Industrial"
"Nebras Profile - Renewable & Lab",Nebras Company Profile,"OBJECTIVE: Document renewable energy and laboratory testing services. RENEWABLE SERVICES: On-grid solar, off-grid solar, solar water pumping, LED conversions, energy-efficiency strategies, consumption audits, climate-impact assessments. LABORATORY SERVICES: Material Type | Tests | Standards. Soil - geotechnical, compaction, bearing capacity | SASO, ASTM. Concrete - compression, mix design, curing | SASO, ASTM. Asphalt - density, stability, gradation | SASO, ASTM. Aggregates - particle size, specific gravity, absorption | SASO, ASTM. ACCREDITATIONS: List all laboratory certifications. FORMAT: Separate pages for renewable and lab services with equipment photos.",,,"High","Profile,Renewable,Laboratory"
"Nebras Profile - NCEC Compliance",Nebras Company Profile,"OBJECTIVE: Explain NCEC certification and environmental compliance services. SERVICES OFFERED: (1) Environmental Impact Assessments (EIA) (2) Compliance Records preparation (3) Environmental Management Plans (EMP) (4) Monitoring Plans development (5) Baseline studies (6) Stakeholder consultation support. CLIENT BENEFITS: Regulatory compliance assurance, stakeholder management, fine avoidance, delay prevention, sustainable development demonstration. CERTIFICATION: Display NCEC certification prominently. FORMAT: Dedicated environmental services page with compliance process diagram.",,,"High","Profile,Environmental,NCEC"
"Nebras Profile - Remediation",Nebras Company Profile,"OBJECTIVE: Document environmental remediation and waste control services. SERVICE AREAS: (1) Facility Rehabilitation - site assessment, remediation strategy, implementation, verification (2) Hazardous Waste Management - consultancy, compliance guidance, disposal coordination, documentation (3) Pollution Control - technique evaluation, system design, performance monitoring (4) Environmental Monitoring - air quality, water quality, soil contamination, noise levels, reporting. VALUE PROPOSITION: Help industries restore sites, reduce liability, demonstrate environmental responsibility. FORMAT: Service catalog with case studies showing before/after results.",,,"High","Profile,Environmental,Remediation"
"Nebras Profile - Single-Source Advantage",Nebras Company Profile,"OBJECTIVE: Communicate integrated service value proposition. SERVICES UNDER ONE CONTRACT: Soil testing, engineering design (all disciplines), licensing and permits, fire system certification, environmental approval, construction supervision, quality assurance. BENEFITS TABLE: Benefit | Impact. Reduced Coordination Risk | Single accountability. Accelerated Schedules | Streamlined workflows. Clear Accountability | One contract, one partner. Cost Efficiency | Integrated pricing. Quality Assurance | Consistent standards. FORMAT: Create compelling infographic showing integration benefits. USE IN: Sales presentations, website, proposals.",,,"High","Profile,Services,Value Proposition"
"Nebras Profile - Call to Action",Nebras Company Profile,"OBJECTIVE: Create compelling invitation for client engagement. KEY MESSAGES: (1) Deploy multidisciplinary teams tailored to projects (2) Navigate complex regulatory processes - Baladi, Najis, SALAMA, MODON, NCEC (3) Deliver quality-assured, sustainable assets (4) Protect present operations and future generations. CONTACT INFORMATION: Update with actual: Email, phone, website, physical address. CTA OPTIONS: Schedule consultation, Request quote, Download brochure, View projects. FORMAT: Prominent CTA buttons on website, clear contact section in all materials. TRACKING: Set up lead capture and conversion tracking.",,,"High","Profile,CTA"
